Hash Rate,Days Since Inception
187281346.3,2022
202037800,2021
171634053.4,2020
161826393.2,2019
167710989.3,2018
159864861.2,2017
166730223.3,2016
153980265,2015
177518649.5,2014
178499415.5,2013
175557117.5,2012
169672521.4,2011
157903329.1,2010
146228789.2,2009
142503214.9,2008
122943950.2,2007
125738130.8,2006
141571821.4,2005
157405511.9,2004
142503214.9,2003
143434608.5,2003
162993873.3,2002
138777640.7,2001
126669524.4,2000
